square pyramid: V0=1.0 a=1.0 | B=1.0 tau=1.0 | drift speed = 2
     r_c  n_steps  walkers            D       err  dlnMSD/dlnt      s
  0.0300   200000      512    0.0167011   0.00047        0.986   53.6
  0.0368   147584      512    0.0217643  0.000802        1.017   43.4
  0.0452    98014      512    0.0253003  0.000913        0.995   27.0
  0.0554    65094      614    0.0309871  0.000826        1.001   19.4
  0.0680    43231      925    0.0365533   0.00122        0.990   15.2
  0.0835    28710     1393    0.0441212  0.000811        0.991   12.6
  0.1024    19067     2097    0.0544734  0.000778        0.996   11.4
  0.1257    12663     3158    0.0664036  0.000689        1.001   10.9
  0.1542     8410     4756    0.0789007  0.000414        1.002    9.8
  0.1892     5585     7162    0.0937876  0.000545        1.002    9.5
  0.2322     3709     8192     0.115258  0.000431        0.997    7.6
  0.2849     3000     8192     0.140176   0.00185        0.993    6.3
  0.3496     3000     8192      0.16701  0.000936        1.006    6.4
  0.4290     3000     8192     0.190508   0.00155        1.000    6.5
  0.5264     3000     8192     0.218638   0.00177        0.997    6.5
  0.6460     3000     8192      0.25474     0.002        1.002    6.3
  0.7927     3000     8192     0.293646   0.00291        0.998    6.2
  0.9727     3000     8192     0.343999   0.00359        1.000    6.1
  1.1936     3000     8192     0.475769   0.00589        1.002    6.1
  1.4646     3000     8192     0.678904   0.00594        1.000    6.2
  1.7972     3000     8192     0.950903   0.00873        0.999    6.1
  2.2053     3000     8192       1.3334   0.00969        1.000    6.2
  2.7061     3000     8192      1.96077    0.0132        0.997    6.2
  3.3206     3000     8192      2.88467    0.0338        1.000    6.1
  4.0747     3000     8192      4.30416     0.024        1.005    6.1
  5.0000     3000     8192      6.30466    0.0676        0.997    6.5
total 314.2 s
wrote data/D_vs_rc_pyramid.npz
