pyramid: xi=1.0 Gamma=1.0 B=1.0 | T0=1 | r_c=0.1 | collisions=fixed | realisations=1
       tau    tau/T0  n_steps walkers  nsub      D(std)       err  slope      s
    0.0001    0.0001    39999    1500     4      24.875     0.477  0.999   14.0
 0.0001931 0.0001931    39999    1500     4      12.847     0.121  0.995   14.2
 0.0003728 0.0003728    39999    1500     4      6.6033     0.137  0.991   14.7
 0.0007197 0.0007197    39999    1500     4      3.4968    0.0622  0.999   13.9
  0.001389  0.001389    39999    1500     4      1.7593    0.0208  0.980   14.2
  0.002683  0.002683    34220    1753     4      1.0463    0.0262  1.012   13.3
  0.005179  0.005179    24628    2436     4     0.66092    0.0116  1.021   12.4
      0.01      0.01    17724    3385     4      0.4716   0.00678  1.015   11.7
   0.01931   0.01931    12756    4703     4     0.35586   0.00164  1.000   11.1
   0.03728   0.03728     9180    6535     4     0.27248   0.00284  1.000   10.7
   0.07197   0.07197     6606    8192     4     0.20159   0.00201  0.996    9.7
    0.1389    0.1389     4754    8192     4     0.14612   0.00185  0.990    7.5
    0.2683    0.2683     3422    8192     4     0.10476   0.00104  0.985    5.4
    0.5179    0.5179     2462    8192     4    0.075715  0.000322  0.987    4.3
         1         1     2000    8192     7    0.054826  0.000513  0.990    3.6
     1.931     1.931     2000    8192    13    0.044427  0.000392  0.988    3.7
     3.728     3.728     2000    8192    25    0.030714  0.000336  0.999    3.5
     7.197     7.197     2000    8192    48   0.0040837  4.09e-05  0.984    3.5
     13.89     13.89     2000    8192    93   0.0062152  7.09e-05  0.997    3.5
     26.83     26.83     2000    8192    96   0.0035599  3.54e-05  0.990    3.5
     51.79     51.79     2000    8192    96   0.0015693  1.31e-05  0.993    3.5
       100       100     2000    8192    96  0.00065838  5.39e-06  0.983    3.5
total 185.2 s
wrote data/D_vs_tau_pyramid_rc0.1_fixed.npz
