pyramid: xi=1.0 Gamma=1.0 B=1.0 | T0=1 | r_c=0.1 | collisions=poisson | realisations=1
       tau    tau/T0  n_steps walkers  nsub      D(std)       err  slope      s
    0.0001    0.0001    39999    1500     4      25.745     0.327  1.009   14.4
 0.0001931 0.0001931    39999    1500     4       13.02     0.124  1.002   14.5
 0.0003728 0.0003728    39999    1500     4      6.6751     0.204  0.996   14.9
 0.0007197 0.0007197    39999    1500     4       3.428    0.0728  0.994   14.5
  0.001389  0.001389    39999    1500     4       1.786    0.0346  0.986   14.3
  0.002683  0.002683    34220    1753     4      1.0354    0.0237  1.008   13.7
  0.005179  0.005179    24628    2436     4      0.6246   0.00892  0.999   12.8
      0.01      0.01    17724    3385     4     0.47046   0.00757  1.015   12.0
   0.01931   0.01931    12756    4703     4     0.35141   0.00297  1.000   11.3
   0.03728   0.03728     9180    6535     4     0.27099   0.00258  1.002   11.1
   0.07197   0.07197     6606    8192     4     0.19752   0.00231  0.995   10.1
    0.1389    0.1389     4754    8192     4     0.14185   0.00142  0.987    7.6
    0.2683    0.2683     3422    8192     4     0.10311   0.00106  0.989    6.0
    0.5179    0.5179     2462    8192     4    0.071814  0.000374  0.984    4.2
         1         1     2000    8192     7    0.048884   0.00047  0.986    3.7
     1.931     1.931     2000    8192    13    0.029285  0.000196  0.983    3.6
     3.728     3.728     2000    8192    25    0.016653  0.000163  0.992    3.5
     7.197     7.197     2000    8192    48   0.0088756  5.17e-05  0.988    3.5
     13.89     13.89     2000    8192    93   0.0045564  7.29e-05  0.985    3.6
     26.83     26.83     2000    8192    96   0.0023668  1.85e-05  0.986    3.5
     51.79     51.79     2000    8192    96   0.0012099  1.58e-05  0.980    3.5
       100       100     2000    8192    96  0.00063294  8.44e-06  0.986    3.6
total 189.9 s
wrote data/D_vs_tau_pyramid_rc0.1_poisson.npz
